patentType,applicantName,year,month,count
发明授权,浙江大学,2014,5,1
发明授权,富士施乐株式会社,2014,7,1
发明授权,特威盾门业(苏州)有限公司,2015,10,1
发明授权,乐金华奥斯有限公司,2014,8,1
发明授权,华为技术有限公司,2016,6,1
实用新型,西安热工研究院有限公司,2015,7,1
发明授权,更新集团私人有限责任公司,2018,7,1
发明授权,中国石油天然气股份有限公司,2014,8,2
发明授权,日本电气株式会社,2015,10,1
实用新型,河南创美实业集团有限公司,2018,9,1
发明授权,瓦姆钻杆钻具法国公司,2014,8,1
发明授权,通用电气公司,2017,10,1
发明授权,波音公司,2017,6,1
发明授权,约瑟夫福格勒公司,2017,10,1
发明公开,厦门航天思尔特机器人系统股份公司,2019,4,1
发明公开,西安米亿生物科技有限公司,2015,1,1
发明授权,浙江元康食品有限公司,2018,4,1
发明公开,广东广航科技有限公司,2018,9,1
发明授权,新昌县合控科技有限公司,2017,12,1
实用新型,中冶京诚工程技术有限公司,2015,6,1
发明授权,北京奇虎科技有限公司,2018,4,1
发明授权,雅培制药有限公司,2018,4,1
实用新型,杭州雷迪克汽车部件制造有限公司,2012,4,1
发明授权,成都安擎微波科技有限责任公司,2015,9,1
发明授权,浙江吉利控股集团有限公司,2014,8,1
发明授权,晨光生物科技集团天津有限公司,2014,10,1
发明授权,本田技研工业株式会社,2014,8,2
发明授权,胜华电子(惠阳)有限公司,2015,9,1
发明授权,株式会社尼康,2018,4,1
发明授权,爱信精机株式会社,2018,4,1
发明授权,霍夫曼-拉罗奇有限公司,2014,8,1
发明授权,高通股份有限公司,2018,4,3
实用新型,武汉辉达工控技术有限公司,2015,6,1
实用新型,重庆固成科技有限公司,2018,1,1
发明授权,罗伯特·博世有限公司,2018,4,1
发明公开,山东电力集团公司烟台供电公司,2012,6,1
实用新型,中国华冶科工集团有限公司,2018,10,1
发明授权,中国石油化工股份有限公司北京化工研究院,2015,9,1
发明授权,浙江天蓝环保技术股份有限公司,2014,8,1
发明公开,弓铨企业股份有限公司,2012,3,1
发明授权,青岛海尔洗衣机有限公司,2017,10,1
发明授权,京东方科技集团股份有限公司,2014,8,2
发明授权,常德金鹏印务有限公司,2014,8,1
发明授权,北京智谷睿拓技术服务有限公司,2017,10,1
发明公开,株式会社百利达,2013,10,1
实用新型,厦门映日新材料科技有限公司,2015,6,1
发明授权,泰山体育产业集团有限公司,2015,10,1
实用新型,泉州市丰阳精密模具有限公司,2018,9,1
发明授权,青岛海信移动通信技术股份有限公司,2014,8,1
发明授权,浙江京新药业股份有限公司,2018,7,1
发明授权,杭州惠宝机电有限公司,2014,10,1
发明授权,华进半导体封装先导技术研发中心有限公司,2017,10,1
发明授权,庄臣及庄臣视力保护公司,2017,6,1
发明授权,泰金宝精密(新加坡)有限公司,2014,8,1
发明授权,中国石油天然气集团公司,2014,8,1
发明公开,苏州龙杰特种纤维股份有限公司,2012,4,1
发明授权,丰田汽车北美工程及制造公司,2017,7,1
发明授权,浙江中碳科技有限公司,2015,9,1
发明授权,广东电网有限责任公司佛山供电局,2015,10,1
发明授权,山西鑫立能源科技有限公司,2014,8,1
发明授权,宁波市鄞州永林电子电器有限公司,2015,9,1
发明授权,电子科技大学,2018,7,1
实用新型,江苏汇菱电梯有限公司,2018,7,1
发明授权,湖北嘉一三维高科股份有限公司,2018,4,1
发明授权,皇家飞利浦电子股份有限公司,2018,7,1
发明授权,武汉纺织大学,2015,10,1
发明授权,阿姆斯特郎世界工业公司,2017,10,1
发明授权,东莞宇龙通信科技有限公司,2018,4,2
实用新型,上海纪烨物联网科技有限公司,2018,7,1
发明授权,奥图泰有限公司,2013,1,1
发明授权,滁州伯恩太阳能科技有限公司,2014,8,1
发明公开,中国石油化工股份有限公司,2018,7,1
发明授权,苏州良才物流科技股份有限公司,2015,9,1
发明授权,思科技术公司,2015,10,1
发明授权,辽宁同辉科技发展有限公司,2015,12,1
发明授权,国家电网公司,2014,8,1
发明授权,鸿海精密工业股份有限公司,2014,7,1
发明授权,宁波瑞明电器有限公司,2015,9,1
发明授权,中冶南方工程技术有限公司,2017,10,1
发明授权,新华三技术有限公司,2017,10,1
发明授权,通用电气公司,2018,7,1
发明授权,特鲁菲舍尔股份有限公司及两合公司,2009,6,1
发明授权,广州广电运通金融电子股份有限公司,2014,7,1
发明授权,YRT有限公司,2018,4,1
发明授权,江苏云阳集团药业有限公司,2015,9,1
发明公开,杭州海得龙塑胶新材料有限公司,2017,8,1
发明授权,合肥华凌股份有限公司,2014,8,1
发明授权,杭州天堂伞业集团有限公司,2015,10,1
实用新型,美钻能源科技(上海)有限公司,2014,10,1
发明授权,夏普株式会社,2014,8,1
发明授权,高通股份有限公司,2017,10,1
发明授权,云南中烟工业有限责任公司,2019,1,1
发明授权,新疆中泰化学股份有限公司,2017,10,1
发明公开,江苏赛康医疗设备股份有限公司,2018,12,1
实用新型,山东亿九电气发展有限公司,2015,3,1
发明授权,神舟太空产品高科技成果推广中心集团有限公司,2014,8,1
发明授权,三星钻石工业股份有限公司,2018,4,1
发明授权,丰田自动车株式会社,2017,6,1
发明授权,中国移动通信集团河南有限公司,2017,10,1
发明授权,上海华力微电子有限公司,2014,8,1
发明授权,第六元素公司,2018,2,1
发明授权,株式会社东芝,2014,10,1
发明授权,上海朔茂网络科技有限公司,2017,10,1
发明授权,浙江佑泰机械设备有限公司,2018,4,1
发明授权,深圳市力可普尔电子有限公司,2014,8,1
发明授权,罗伯特·博世有限公司,2014,8,2
实用新型,上海市环境工程设计科学研究院有限公司,2014,10,1
发明授权,南通普瑞特机械有限公司,2018,7,1
发明授权,安万特药物公司,2014,8,1
发明授权,北京京东方显示技术有限公司,2018,9,1
发明公开,广州市嫡尔国际品牌管理有限公司,2019,1,1
发明公开,无锡易通精密机械股份有限公司,2012,12,1
发明授权,中海油能源发展股份有限公司,2015,10,1
发明授权,上海渊信建筑材料有限公司,2014,8,1
发明授权,宝马股份公司,2018,7,1
发明授权,虹霓机械制造有限公司,2017,10,1
发明授权,云南奕华农业生物有限公司,2017,9,1
实用新型,金华菁英科技服务有限公司,2018,11,1
发明授权,弗莱克英纳宝有限公司,2017,10,1
发明授权,河北省电力公司,2014,8,1
实用新型,上杭县惠众信息科技有限责任公司,2018,3,1
